Id,Id2,Geography,GEOGRAPHIC AREA CODES - Place (FIPS),GEOGRAPHIC AREA CODES - Place Size Code,AREA CHARACTERISTICS - Area (Land),Land Area (square miles),AREA CHARACTERISTICS - Area (Water),AREA CHARACTERISTICS - Functional Status Code,2010 Population,Population Density (persons / sq. mile), Housing Unit Count,Housing Density
1600000US3628189,3628189,"Garden City Park CDP, New York",28189,13,2549713,0.984449735,17844,S,7806,7929.30276,2603,2644.116716
1600000US3676287,3676287,"University Gardens CDP, New York",76287,12,1380983,0.53320054,0,S,4226,7925.723407,1695,3178.916511
1600000US0624722,624722,"Foothill Farms CDP, California",24722,16,10872638,4.19794918,0,S,33121,7889.804898,12607,3003.133068
1600000US7211151,7211151,"Calzada comunidad, Puerto Rico",11151,4,62770,0.024235634,0,S,191,7880.957591,102,4208.678923
1600000US3430420,3430420,"Hasbrouck Heights borough, New Jersey",30420,14,3899441,1.505582651,10274,A,11842,7865.3935,4627,3073.228823
1600000US0648914,648914,"Monterey Park city, California",48914,17,19870217,7.671934001,158353,A,60269,7855.776652,20850,2717.69804
1600000US4215848,4215848,"Conshohocken borough, Pennsylvania",15848,13,2584166,0.997752113,91954,A,7833,7850.647367,4686,4696.55733
1600000US3453280,3453280,"North Plainfield borough, New Jersey",53280,15,7237467,2.79440175,32484,A,21936,7849.980769,7848,2808.472332
1600000US1239550,1239550,"Lauderhill city, Florida",39550,17,22085886,8.527408621,82377,A,66887,7843.766257,29519,3461.661252
1600000US2537000,2537000,"Lowell city, Massachusetts",37000,18,35179716,13.58296486,2441990,A,106519,7842.1023,41431,3050.217711
